gps_time,x,y,z,ve(m/3),vn(m/s),vu(m/s),roll(rad),pitch(rad),yaw(rad)
2020-10-13-16-03-08-029,-1779.913302,-2369.062778,15.942278,0.613949,-0.610014,0.001356,0.010355,-0.008559,2.348586
2020-10-13-16-03-08-039,-1779.907458,-2369.068804,15.942222,0.618838,-0.614889,0.002469,0.010218,-0.008509,2.348586
2020-10-13-16-03-08-049,-1779.901435,-2369.074983,15.942216,0.623484,-0.620003,0.001325,0.010170,-0.008488,2.348593
2020-10-13-16-03-08-059,-1779.895352,-2369.081221,15.942205,0.629283,-0.625799,0.000474,0.010213,-0.008483,2.348609
2020-10-13-16-03-08-069,-1779.889227,-2369.087514,15.942191,0.633985,-0.631795,-0.000042,0.010322,-0.008469,2.348637
2020-10-13-16-03-08-079,-1779.883164,-2369.093830,15.942195,0.638070,-0.634576,0.002023,0.010316,-0.008469,2.348676
2020-10-13-16-03-08-089,-1779.876957,-2369.100186,15.942191,0.641493,-0.637601,0.001551,0.010231,-0.008455,2.348700
2020-10-13-16-03-08-099,-1779.870731,-2369.106572,15.942175,0.643504,-0.640584,0.000108,0.010173,-0.008409,2.348715
2020-10-13-16-03-08-109,-1779.864477,-2369.112999,15.942144,0.645810,-0.644371,-0.001636,0.010239,-0.008401,2.348731
2020-10-13-16-03-08-119,-1779.858279,-2369.119452,15.942128,0.649769,-0.647163,0.000390,0.010555,-0.008432,2.348734
2020-10-13-16-03-08-130,-1779.851940,-2369.125933,15.942153,0.654366,-0.650027,0.004491,0.010613,-0.008424,2.348735
2020-10-13-16-03-08-140,-1779.845559,-2369.132462,15.942190,0.658176,-0.654131,0.006475,0.010437,-0.008421,2.348738
2020-10-13-16-03-08-150,-1779.839132,-2369.139047,15.942204,0.662917,-0.660010,0.004733,0.010194,-0.008382,2.348749
2020-10-13-16-03-08-160,-1779.832747,-2369.145698,15.942139,0.668623,-0.666620,-0.002215,0.010306,-0.008375,2.348786
2020-10-13-16-03-08-170,-1779.826226,-2369.152380,15.942104,0.672799,-0.671015,-0.003326,0.010533,-0.008403,2.348808
2020-10-13-16-03-08-180,-1779.819671,-2369.159098,15.942092,0.675877,-0.674432,-0.000897,0.010785,-0.008416,2.348842
2020-10-13-16-03-08-190,-1779.813190,-2369.165823,15.942130,0.678398,-0.675152,0.005511,0.010691,-0.008412,2.348867
2020-10-13-16-03-08-200,-1779.806567,-2369.172594,15.942165,0.681935,-0.678681,0.006367,0.010482,-0.008382,2.348880
2020-10-13-16-03-08-210,-1779.799914,-2369.179406,15.942171,0.684879,-0.683035,0.002855,0.010311,-0.008357,2.348887
2020-10-13-16-03-08-220,-1779.793216,-2369.186265,15.942136,0.688888,-0.687570,-0.002023,0.010362,-0.008353,2.348890
2020-10-13-16-03-08-230,-1779.786476,-2369.193173,15.942092,0.693200,-0.692682,-0.004331,0.010644,-0.008372,2.348891
2020-10-13-16-03-08-240,-1779.779786,-2369.200123,15.942116,0.698549,-0.696943,0.002485,0.010937,-0.008400,2.348920
2020-10-13-16-03-08-250,-1779.772953,-2369.207110,15.942154,0.703030,-0.700969,0.006220,0.010864,-0.008387,2.348951
2020-10-13-16-03-08-259,-1779.766077,-2369.214135,15.942199,0.707068,-0.704584,0.007549,0.010649,-0.008382,2.348977
2020-10-13-16-03-08-269,-1779.759172,-2369.221208,15.942206,0.710340,-0.709244,0.004193,0.010455,-0.008353,2.349003
2020-10-13-16-03-08-279,-1779.752335,-2369.228318,15.942154,0.712998,-0.713105,-0.001738,0.010635,-0.008363,2.349019
2020-10-13-16-03-08-289,-1779.745361,-2369.235460,15.942128,0.716164,-0.716228,-0.002309,0.010820,-0.008378,2.349032
2020-10-13-16-03-08-299,-1779.738349,-2369.242631,15.942121,0.719968,-0.719154,-0.000373,0.011001,-0.008382,2.349041
2020-10-13-16-03-08-309,-1779.731398,-2369.249847,15.942143,0.724110,-0.723385,0.004305,0.010960,-0.008371,2.349050
2020-10-13-16-03-08-319,-1779.724298,-2369.257108,15.942176,0.728423,-0.727788,0.005857,0.010898,-0.008341,2.349070
2020-10-13-16-03-08-329,-1779.717156,-2369.264402,15.942203,0.732989,-0.731473,0.004999,0.010752,-0.008320,2.349085
2020-10-13-16-03-08-339,-1779.709979,-2369.271748,15.942195,0.736692,-0.736556,0.001260,0.010644,-0.008297,2.349100
2020-10-13-16-03-08-349,-1779.702752,-2369.279148,15.942158,0.741141,-0.741947,-0.002528,0.010696,-0.008284,2.349122
2020-10-13-16-03-08-359,-1779.695594,-2369.286573,15.942126,0.744776,-0.744976,-0.001754,0.011035,-0.008333,2.349152
2020-10-13-16-03-08-369,-1779.688296,-2369.294026,15.942130,0.748403,-0.747520,0.001563,0.011197,-0.008333,2.349178
2020-10-13-16-03-08-380,-1779.680967,-2369.301510,15.942171,0.751264,-0.750139,0.006015,0.011178,-0.008337,2.349196
2020-10-13-16-03-08-390,-1779.673595,-2369.309030,15.942224,0.754932,-0.753270,0.008249,0.010990,-0.008278,2.349208
2020-10-13-16-03-08-400,-1779.666283,-2369.316599,15.942179,0.759580,-0.758485,0.000208,0.010660,-0.008201,2.349209
2020-10-13-16-03-08-410,-1779.658831,-2369.324214,15.942126,0.763283,-0.763625,-0.005164,0.010767,-0.008193,2.349222
2020-10-13-16-03-08-420,-1779.651329,-2369.331874,15.942069,0.767879,-0.768093,-0.006458,0.011095,-0.008225,2.349250
2020-10-13-16-03-08-430,-1779.643894,-2369.339560,15.942079,0.771929,-0.771026,0.001986,0.011383,-0.008257,2.349275
2020-10-13-16-03-08-440,-1779.636305,-2369.347285,15.942120,0.776543,-0.774112,0.007372,0.011301,-0.008216,2.349301
2020-10-13-16-03-08-450,-1779.628681,-2369.355043,15.942163,0.780520,-0.777577,0.007844,0.010951,-0.008180,2.349326
2020-10-13-16-03-08-460,-1779.621023,-2369.362844,15.942157,0.783604,-0.781715,0.002570,0.010604,-0.008118,2.349348
2020-10-13-16-03-08-470,-1779.613342,-2369.370694,15.942077,0.785748,-0.786686,-0.005803,0.010591,-0.008095,2.349380
2020-10-13-16-03-08-480,-1779.605720,-2369.378570,15.942011,0.789213,-0.789776,-0.005587,0.011384,-0.008181,2.349404
2020-10-13-16-03-08-490,-1779.597956,-2369.386475,15.942029,0.793576,-0.792461,0.002527,0.011674,-0.008216,2.349424
2020-10-13-16-03-08-500,-1779.590145,-2369.394409,15.942110,0.797919,-0.794880,0.010818,0.011511,-0.008191,2.349437
2020-10-13-16-03-08-509,-1779.582296,-2369.402391,15.942187,0.802270,-0.799445,0.012567,0.010924,-0.008077,2.349456
2020-10-13-16-03-08-519,-1779.574510,-2369.410443,15.942087,0.806226,-0.806632,-0.003454,0.010495,-0.008042,2.349492
2020-10-13-16-03-08-529,-1779.566580,-2369.418539,15.941988,0.810031,-0.812142,-0.011249,0.010833,-0.008069,2.349526
2020-10-13-16-03-08-539,-1779.558616,-2369.426670,15.941921,0.813363,-0.815960,-0.009373,0.011531,-0.008158,2.349565
2020-10-13-16-03-08-549,-1779.550704,-2369.434804,15.942018,0.817725,-0.815963,0.009283,0.011597,-0.008171,2.349594
2020-10-13-16-03-08-559,-1779.542653,-2369.442978,15.942121,0.821839,-0.818567,0.015233,0.011029,-0.008071,2.349615
2020-10-13-16-03-08-569,-1779.534570,-2369.451191,15.942160,0.825146,-0.822911,0.008404,0.010258,-0.007983,2.349629
2020-10-13-16-03-08-579,-1779.526450,-2369.459469,15.942068,0.828447,-0.829195,-0.006734,0.009945,-0.007959,2.349667
2020-10-13-16-03-08-589,-1779.518291,-2369.467787,15.941905,0.832012,-0.834091,-0.017871,0.010560,-0.008012,2.349698
2020-10-13-16-03-08-599,-1779.510176,-2369.476120,15.941935,0.837691,-0.835687,-0.000405,0.011853,-0.008237,2.349714
2020-10-13-16-03-08-609,-1779.501923,-2369.484482,15.942055,0.841979,-0.837850,0.015610,0.011681,-0.008223,2.349742
2020-10-13-16-03-08-619,-1779.493626,-2369.492882,15.942194,0.846321,-0.841374,0.020641,0.010683,-0.008074,2.349772
2020-10-13-16-03-08-630,-1779.485398,-2369.501355,15.942078,0.849640,-0.848639,-0.004227,0.009915,-0.008018,2.349807
2020-10-13-16-03-08-640,-1779.477024,-2369.509870,15.941951,0.852993,-0.853662,-0.016081,0.010437,-0.008111,2.349835
2020-10-13-16-03-08-650,-1779.468619,-2369.518415,15.941849,0.856390,-0.857151,-0.014001,0.011506,-0.008275,2.349865
2020-10-13-16-03-08-660,-1779.460174,-2369.526971,15.941922,0.859954,-0.857834,0.004638,0.012177,-0.008393,2.349886
2020-10-13-16-03-08-670,-1779.451792,-2369.535542,15.942091,0.864444,-0.859160,0.018565,0.010684,-0.008162,2.349905
2020-10-13-16-03-08-680,-1779.443270,-2369.544170,15.942146,0.867970,-0.864304,0.008805,0.009737,-0.008074,2.349933
2020-10-13-16-03-08-690,-1779.434705,-2369.552862,15.942050,0.871900,-0.871112,-0.009511,0.009577,-0.008128,2.349971
2020-10-13-16-03-08-700,-1779.426113,-2369.561607,15.941881,0.874747,-0.877077,-0.020738,0.010561,-0.008263,2.349999
2020-10-13-16-03-08-710,-1779.417474,-2369.570373,15.941843,0.878729,-0.879659,-0.011565,0.011952,-0.008486,2.350024
2020-10-13-16-03-08-720,-1779.408888,-2369.579132,15.942126,0.883781,-0.879108,0.022462,0.011400,-0.008426,2.350061
2020-10-13-16-03-08-730,-1779.400164,-2369.587949,15.942284,0.887878,-0.882956,0.023496,0.010188,-0.008236,2.350105
2020-10-13-16-03-08-740,-1779.391406,-2369.596831,15.942268,0.891196,-0.889426,0.005215,0.009220,-0.008156,2.350153
2020-10-13-16-03-08-750,-1779.382612,-2369.605776,15.942084,0.894348,-0.896258,-0.016352,0.009501,-0.008281,2.350186
