gps_time,x,y,z,ve(m/3),vn(m/s),vu(m/s),roll(rad),pitch(rad),yaw(rad)
2020-10-13-16-03-08-029,11723345.529519,3123918.419629,16.632183,0.613949,-0.610014,0.001356,0.010355,-0.008559,2.348586
2020-10-13-16-03-08-039,11723345.535396,3123918.413540,16.632127,0.618838,-0.614889,0.002469,0.010218,-0.008509,2.348586
2020-10-13-16-03-08-049,11723345.541454,3123918.407296,16.632122,0.623484,-0.620003,0.001325,0.010170,-0.008488,2.348593
2020-10-13-16-03-08-059,11723345.547572,3123918.400994,16.632111,0.629283,-0.625799,0.000474,0.010213,-0.008483,2.348609
2020-10-13-16-03-08-069,11723345.553731,3123918.394635,16.632098,0.633985,-0.631795,-0.000042,0.010322,-0.008469,2.348637
2020-10-13-16-03-08-079,11723345.559830,3123918.388254,16.632102,0.638070,-0.634576,0.002023,0.010316,-0.008469,2.348676
2020-10-13-16-03-08-089,11723345.566072,3123918.381832,16.632100,0.641493,-0.637601,0.001551,0.010231,-0.008455,2.348700
2020-10-13-16-03-08-099,11723345.572333,3123918.375379,16.632084,0.643504,-0.640584,0.000108,0.010173,-0.008409,2.348715
2020-10-13-16-03-08-109,11723345.578623,3123918.368886,16.632054,0.645810,-0.644371,-0.001636,0.010239,-0.008401,2.348731
2020-10-13-16-03-08-119,11723345.584857,3123918.362366,16.632038,0.649769,-0.647163,0.000390,0.010555,-0.008432,2.348734
2020-10-13-16-03-08-130,11723345.591232,3123918.355818,16.632065,0.654366,-0.650027,0.004491,0.010613,-0.008424,2.348735
2020-10-13-16-03-08-140,11723345.597649,3123918.349221,16.632102,0.658176,-0.654131,0.006475,0.010437,-0.008421,2.348738
2020-10-13-16-03-08-150,11723345.604113,3123918.342568,16.632116,0.662917,-0.660010,0.004733,0.010194,-0.008382,2.348749
2020-10-13-16-03-08-160,11723345.610535,3123918.335847,16.632053,0.668623,-0.666620,-0.002215,0.010306,-0.008375,2.348786
2020-10-13-16-03-08-170,11723345.617093,3123918.329096,16.632017,0.672799,-0.671015,-0.003326,0.010533,-0.008403,2.348808
2020-10-13-16-03-08-180,11723345.623685,3123918.322308,16.632007,0.675877,-0.674432,-0.000897,0.010785,-0.008416,2.348842
2020-10-13-16-03-08-190,11723345.630204,3123918.315513,16.632045,0.678398,-0.675152,0.005511,0.010691,-0.008412,2.348867
2020-10-13-16-03-08-200,11723345.636865,3123918.308672,16.632081,0.681935,-0.678681,0.006367,0.010482,-0.008382,2.348880
2020-10-13-16-03-08-210,11723345.643555,3123918.301789,16.632087,0.684879,-0.683035,0.002855,0.010311,-0.008357,2.348887
2020-10-13-16-03-08-220,11723345.650292,3123918.294860,16.632054,0.688888,-0.687570,-0.002023,0.010362,-0.008353,2.348890
2020-10-13-16-03-08-230,11723345.657071,3123918.287880,16.632010,0.693200,-0.692682,-0.004331,0.010644,-0.008372,2.348891
2020-10-13-16-03-08-240,11723345.663799,3123918.280858,16.632035,0.698549,-0.696943,0.002485,0.010937,-0.008400,2.348920
2020-10-13-16-03-08-250,11723345.670671,3123918.273799,16.632073,0.703030,-0.700969,0.006220,0.010864,-0.008387,2.348951
2020-10-13-16-03-08-259,11723345.677586,3123918.266700,16.632119,0.707068,-0.704584,0.007549,0.010649,-0.008382,2.348977
2020-10-13-16-03-08-269,11723345.684531,3123918.259554,16.632126,0.710340,-0.709244,0.004193,0.010455,-0.008353,2.349003
2020-10-13-16-03-08-279,11723345.691407,3123918.252370,16.632075,0.712998,-0.713105,-0.001738,0.010635,-0.008363,2.349019
2020-10-13-16-03-08-289,11723345.698421,3123918.245154,16.632051,0.716164,-0.716228,-0.002309,0.010820,-0.008378,2.349032
2020-10-13-16-03-08-299,11723345.705473,3123918.237909,16.632044,0.719968,-0.719154,-0.000373,0.011001,-0.008382,2.349041
2020-10-13-16-03-08-309,11723345.712464,3123918.230617,16.632066,0.724110,-0.723385,0.004305,0.010960,-0.008371,2.349050
2020-10-13-16-03-08-319,11723345.719604,3123918.223281,16.632101,0.728423,-0.727788,0.005857,0.010898,-0.008341,2.349070
2020-10-13-16-03-08-329,11723345.726787,3123918.215911,16.632128,0.732989,-0.731473,0.004999,0.010752,-0.008320,2.349085
2020-10-13-16-03-08-339,11723345.734006,3123918.208489,16.632121,0.736692,-0.736556,0.001260,0.010644,-0.008297,2.349100
2020-10-13-16-03-08-349,11723345.741274,3123918.201013,16.632085,0.741141,-0.741947,-0.002528,0.010696,-0.008284,2.349122
2020-10-13-16-03-08-359,11723345.748473,3123918.193511,16.632053,0.744776,-0.744976,-0.001754,0.011035,-0.008333,2.349152
2020-10-13-16-03-08-369,11723345.755812,3123918.185980,16.632058,0.748403,-0.747520,0.001563,0.011197,-0.008333,2.349178
2020-10-13-16-03-08-380,11723345.763183,3123918.178419,16.632100,0.751264,-0.750139,0.006015,0.011178,-0.008337,2.349196
2020-10-13-16-03-08-390,11723345.770598,3123918.170821,16.632154,0.754932,-0.753270,0.008249,0.010990,-0.008278,2.349208
2020-10-13-16-03-08-400,11723345.777951,3123918.163173,16.632109,0.759580,-0.758485,0.000208,0.010660,-0.008201,2.349209
2020-10-13-16-03-08-410,11723345.785446,3123918.155478,16.632057,0.763283,-0.763625,-0.005164,0.010767,-0.008193,2.349222
2020-10-13-16-03-08-420,11723345.792991,3123918.147740,16.632001,0.767879,-0.768093,-0.006458,0.011095,-0.008225,2.349250
2020-10-13-16-03-08-430,11723345.800468,3123918.139974,16.632011,0.771929,-0.771026,0.001986,0.011383,-0.008257,2.349275
2020-10-13-16-03-08-440,11723345.808101,3123918.132168,16.632054,0.776543,-0.774112,0.007372,0.011301,-0.008216,2.349301
2020-10-13-16-03-08-450,11723345.815769,3123918.124330,16.632098,0.780520,-0.777577,0.007844,0.010951,-0.008180,2.349326
2020-10-13-16-03-08-460,11723345.823471,3123918.116448,16.632092,0.783604,-0.781715,0.002570,0.010604,-0.008118,2.349348
