left_top_x,left_top_y,left_top_z,right_top_x,right_top_y,right_top_z,right_bottom_x,right_bottom_y,right_bottom_z,left_bottom_x,left_bottom_y,left_bottom_z
5.5,-1.4,0.305,5.5,-0.8,0.305,5.5,-0.8,-0.295,5.5,-1.4,-0.295
5.5,-0.3,0.305,5.5,0.3,0.305,5.5,0.3,-0.295,5.5,-0.3,-0.295
5.5,0.8,0.305,5.5,1.4,0.305,5.5,1.4,-0.295,5.5,0.8,-0.295
5.5,-1.4,-0.295,5.5,-0.8,-0.295,5.5,-0.8,-0.895,5.5,-1.4,-0.895
5.5,-0.3,-0.295,5.5,0.3,-0.295,5.5,0.3,-0.895,5.5,-0.3,-0.895
5.5,0.8,-0.295,5.5,1.4,-0.295,5.5,1.4,-0.895,5.5,0.8,-0.895
5.5,-1.4,-0.895,5.5,-0.8,-0.895,5.5,-0.8,-1.495,5.5,-1.4,-1.495
5.5,-0.3,-0.895,5.5,0.3,-0.895,5.5,0.3,-1.495,5.5,-0.3,-1.495
5.5,0.8,-0.895,5.5,1.4,-0.895,5.5,1.4,-1.495,5.5,0.8,-1.495
6.5,-1.9,0.505,6.5,-1.3,0.505,6.5,-1.3,-0.095,6.5,-1.9,-0.095
6.5,-0.9,0.505,6.5,-0.3,0.505,6.5,-0.3,-0.095,6.5,-0.9,-0.095
6.5,0.3,0.505,6.5,0.9,0.505,6.5,0.9,-0.095,6.5,0.3,-0.095
6.5,1.3,0.505,6.5,1.9,0.505,6.5,1.9,-0.095,6.5,1.3,-0.095
6.5,-1.9,-0.295,6.5,-1.3,-0.295,6.5,-1.3,-0.895,6.5,-1.9,-0.895
6.5,-0.9,-0.295,6.5,-0.3,-0.295,6.5,-0.3,-0.895,6.5,-0.9,-0.895
6.5,0.3,-0.295,6.5,0.9,-0.295,6.5,0.9,-0.895,6.5,0.3,-0.895
6.5,1.3,-0.295,6.5,1.9,-0.295,6.5,1.9,-0.895,6.5,1.3,-0.895
6.5,-1.9,-1.095,6.5,-1.3,-1.095,6.5,-1.3,-1.695,6.5,-1.9,-1.695
6.5,-0.9,-1.095,6.5,-0.3,-1.095,6.5,-0.3,-1.695,6.5,-0.9,-1.695
6.5,0.3,-1.095,6.5,0.9,-1.095,6.5,0.9,-1.695,6.5,0.3,-1.695
6.5,1.3,-1.095,6.5,1.9,-1.095,6.5,1.9,-1.695,6.5,1.3,-1.695
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
