gps_time,gps_seconds,baseline_length(m),heading(deg),pitch(deg),hdg_stdev(deg),ptch_stdev(deg),num_sats_used,sol_source,solution_status,position_type
2021-04-22 15:14:28.349,1303571668.350000,-1.0000000,135.7825775,0.1628967,0.2450714,0.4621358,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:28.400,1303571668.400000,-1.0000000,135.7256012,-0.1369934,0.2449661,0.4625625,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:28.450,1303571668.450000,-1.0000000,135.8117065,-0.4508972,0.2447720,0.4629192,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:28.500,1303571668.500000,-1.0000000,135.7992554,-0.3803101,0.2449895,0.4634749,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:28.549,1303571668.550000,-1.0000000,135.7396545,-0.1394958,0.2444368,0.4624915,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:28.599,1303571668.600000,-1.0000000,135.8252716,-0.2461853,0.2440956,0.4615876,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:28.650,1303571668.650000,-1.0000000,135.7531586,-0.2346191,0.2439269,0.4617732,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:28.700,1303571668.700000,-1.0000000,135.8110657,-0.1996155,0.2442360,0.4625754,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:28.750,1303571668.750000,-1.0000000,135.7808380,-0.3051147,0.2448608,0.4635904,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:28.799,1303571668.800000,-1.0000000,135.8672485,-0.1628723,0.2455055,0.4650324,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:28.849,1303571668.850000,-1.0000000,135.8298492,-0.2738342,0.2455334,0.4655321,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:28.900,1303571668.900000,-1.0000000,135.7642975,-0.0824585,0.2446341,0.4638200,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:28.950,1303571668.950000,-1.0000000,135.8292999,-0.3384705,0.2443870,0.4633400,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:29.000,1303571669.000000,-1.0000000,135.8580627,-0.3091125,0.2446652,0.4640327,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:29.049,1303571669.050000,-1.0000000,135.8434296,-0.1557007,0.2445228,0.4632781,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:29.099,1303571669.100000,-1.0000000,135.8144073,-0.3353271,0.2458372,0.4655928,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:29.150,1303571669.150000,-1.0000000,135.7436676,-0.2249451,0.2449210,0.4640077,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:29.200,1303571669.200000,-1.0000000,135.8079224,-0.4933777,0.2457389,0.4654467,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:29.250,1303571669.250000,-1.0000000,135.8874817,-0.3021851,0.2446077,0.4636392,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:29.299,1303571669.300000,-1.0000000,135.8867035,-0.2322693,0.2449854,0.4645602,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:29.349,1303571669.350000,-1.0000000,135.8372345,-0.2430420,0.2457161,0.4657493,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:29.400,1303571669.400000,-1.0000000,135.8648529,-0.4754333,0.2463035,0.4670730,31,4,SOL_COMPUTED,NARROW_INT
2021-04-22 15:14:29.450,1303571669.450000,-1.0000000,135.8501587,-0.2352600,0.2458478,0.4661090,31,4,SOL_COMPUTED,NARROW_INT
