time_ns,trackID,scan_index,track_lat_rate_m_per_s,track_group_changed,track_oncoming,track_status,track_angle_rad,track_range_m,track_bridge_object,track_rolling_count,track_width_m,track_range_accel_m_per_s2,track_med_range_mode,track_range_rate_m_per_s
1608019621585838080,1,0,0.000000,0,0,3,-0.075049,59.500000,0,0,0.000000,-0.850000,2,-1.300000
1608019621586086912,2,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621586337024,3,0,0.000000,0,0,3,-0.221657,19.799999,0,0,0.000000,-0.800000,1,-1.200000
1608019621587339008,4,0,0.250000,0,0,3,-0.066323,76.199997,0,0,0.000000,-0.850000,2,-1.290000
1608019621587587072,5,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621587835904,6,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621588086016,7,0,-0.500000,0,0,4,0.094248,98.300003,1,0,0.000000,-0.550000,0,-0.810000
1608019621588337920,8,0,0.250000,0,0,3,0.226893,52.799999,0,0,0.000000,-1.100000,1,-0.920000
1608019621588587008,9,0,-3.500000,0,0,3,0.151844,36.500000,0,0,0.000000,-1.200000,3,-1.260000
1608019621588836096,10,0,-0.250000,0,0,3,-0.085521,51.099998,0,0,0.000000,-0.850000,2,-1.240000
1608019621589085952,11,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621589338112,12,0,0.000000,0,0,3,-0.036652,136.199997,0,0,0.000000,-0.850000,2,-1.300000
1608019621589586944,13,0,0.250000,0,0,4,-0.036652,145.800003,0,0,0.000000,-0.750000,0,-0.880000
1608019621589838080,14,0,0.000000,0,0,1,0.090757,109.900002,0,0,0.000000,0.000000,2,-1.270000
1608019621590086912,15,0,-0.250000,0,0,4,0.080285,116.800003,0,0,0.000000,-1.200000,0,-1.140000
1608019621590338048,16,0,-4.000000,0,0,4,-0.045379,97.199997,1,0,0.000000,-0.300000,0,-0.950000
1608019621590586880,17,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621590838016,18,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621591088896,19,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621591335936,20,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621591586048,21,0,0.000000,0,0,3,0.057596,152.300003,0,0,0.000000,-0.850000,2,-0.980000
1608019621591835904,22,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621592087040,23,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621592336896,24,0,0.500000,0,0,7,0.094248,104.099998,0,0,0.000000,-0.050000,0,-1.150000
1608019621592588032,25,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621592837888,26,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621593085952,27,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621593337088,28,0,0.000000,0,0,4,0.164061,36.599998,0,0,0.000000,-0.800000,0,-1.220000
1608019621593586944,29,0,0.000000,0,0,3,-0.080285,67.599998,1,0,0.000000,-1.000000,2,-1.220000
1608019621593836032,30,0,0.500000,0,0,4,0.111701,43.799999,0,0,0.000000,-0.950000,0,-1.270000
1608019621594086912,31,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621594336000,32,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621594586112,33,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621594838016,34,0,-3.000000,0,0,4,0.272271,57.700001,0,0,0.000000,-0.550000,0,-0.900000
1608019621595087104,35,0,0.000000,0,0,3,-0.417134,10.800000,0,0,0.000000,-0.650000,1,-1.100000
1608019621595335936,36,0,-4.500000,0,0,3,0.390954,19.200001,0,0,0.000000,-1.000000,1,-1.260000
1608019621595586048,37,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621595834112,38,0,0.750000,0,0,3,-0.122173,36.099998,0,0,0.000000,-0.650000,3,-1.190000
1608019621596088064,39,0,0.000000,0,0,3,-0.059341,80.699997,0,0,0.000000,-0.650000,2,-1.200000
1608019621596336128,40,0,-1.000000,0,0,3,-0.041888,103.300003,1,0,0.000000,-0.300000,2,-1.020000
1608019621596584960,41,0,-0.750000,0,0,3,0.109956,84.400002,0,0,0.000000,-0.850000,2,-1.240000
1608019621596836096,42,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621597086976,43,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621597337088,44,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621597586944,45,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621597837056,46,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621598085888,47,0,0.000000,0,0,1,0.237365,25.799999,0,0,0.000000,0.000000,1,-1.290000
1608019621598336000,48,0,-5.000000,0,0,4,0.073304,122.300003,1,0,0.000000,-0.250000,0,-0.880000
1608019621598586880,49,0,0.000000,0,0,3,-0.185005,23.799999,0,0,0.000000,-0.400000,1,-1.090000
1608019621598836992,50,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621599086080,51,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621599335936,52,0,-2.750000,0,0,3,-0.153589,28.299999,1,0,0.000000,-0.150000,3,-1.130000
1608019621599586048,53,0,0.000000,0,0,1,0.172788,106.000000,0,0,0.000000,0.000000,2,-1.250000
1608019621599835904,54,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621600087040,55,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621600335872,56,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621600587008,57,0,0.000000,0,0,3,-0.057596,91.599998,0,0,0.000000,-0.850000,2,-1.290000
1608019621600837120,58,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621601148928,59,0,1.500000,0,0,3,-0.298451,15.400000,0,0,0.000000,-0.200000,1,-1.040000
1608019621601359104,60,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621602086912,61,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621602334976,62,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621602587904,63,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621635620096,0,0,-0.250000,0,0,3,-0.102974,43.500000,0,0,0.000000,-0.850000,2,-1.300000
1608019621635862016,1,0,0.000000,0,0,3,-0.075049,59.500000,0,0,0.000000,-0.850000,2,-1.360000
1608019621636114944,2,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621636363008,3,0,0.000000,0,0,3,-0.223402,19.799999,0,0,0.000000,-0.800000,1,-1.260000
1608019621637337088,4,0,0.250000,0,0,3,-0.066323,76.099998,0,0,0.000000,-0.850000,2,-1.350000
1608019621637583104,5,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621637836032,6,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621638085120,7,0,-0.500000,0,0,4,0.094248,98.300003,1,0,0.000000,-0.550000,0,-0.850000
1608019621638336000,8,0,0.250000,0,0,4,0.226893,52.799999,1,0,0.000000,-1.100000,0,-0.980000
1608019621638584064,9,0,-2.750000,0,0,3,0.151844,36.500000,0,0,0.000000,-1.200000,3,-1.340000
1608019621638834944,10,0,-0.250000,0,0,3,-0.085521,51.099998,0,0,0.000000,-0.850000,2,-1.300000
1608019621639084032,11,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621639363072,12,0,0.000000,0,0,3,-0.036652,136.100006,0,0,0.000000,-0.850000,2,-1.360000
1608019621639622912,13,0,0.250000,0,0,4,-0.036652,145.800003,0,0,0.000000,-0.750000,0,-0.920000
1608019621639859968,14,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621640086016,15,0,0.000000,0,0,3,0.082030,116.800003,0,0,0.000000,-1.300000,2,-1.240000
1608019621640356096,16,0,-4.000000,0,0,4,-0.045379,97.199997,1,0,0.000000,-0.300000,0,-0.970000
1608019621640612096,17,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621640858112,18,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621641146112,19,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621641856000,20,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621642107904,21,0,0.000000,0,0,4,0.057596,152.300003,0,0,0.000000,-0.850000,0,-1.030000
1608019621642356992,22,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621642585088,23,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621642891008,24,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621643128064,25,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621643385088,26,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621643611904,27,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621644335104,28,0,0.000000,0,0,4,0.164061,36.500000,0,0,0.000000,-0.800000,0,-1.270000
1608019621644585984,29,0,0.000000,0,0,4,-0.080285,67.500000,1,0,0.000000,-1.000000,0,-1.270000
1608019621644858112,30,0,0.500000,0,0,4,0.111701,43.799999,0,0,0.000000,-0.950000,0,-1.320000
1608019621645084928,31,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621645335040,32,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621645585920,33,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621645857024,34,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621646113024,35,0,0.000000,0,0,3,-0.420624,10.700000,0,0,0.000000,-0.700000,1,-1.150000
1608019621646336000,36,0,-4.500000,0,0,4,0.404916,19.100000,0,0,0.000000,-1.000000,0,-1.310000
1608019621646585088,37,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621646833920,38,0,0.750000,0,0,3,-0.122173,36.099998,0,0,0.000000,-0.700000,3,-1.260000
1608019621647141888,39,0,0.000000,0,0,3,-0.059341,80.599998,0,0,0.000000,-0.700000,2,-1.250000
1608019621647389952,40,0,-1.500000,0,0,3,-0.045379,103.300003,1,0,0.000000,-0.550000,2,-1.130000
1608019621647611904,41,0,-0.500000,0,0,3,0.108210,84.300003,0,0,0.000000,-0.850000,2,-1.300000
1608019621647859968,42,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621648109056,43,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621648359936,44,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621648588032,45,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621648884992,46,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621649134080,47,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621649383936,48,0,-5.000000,0,0,4,0.073304,122.300003,1,0,0.000000,-0.250000,0,-0.900000
1608019621649611008,49,0,0.000000,0,0,3,-0.186750,23.799999,0,0,0.000000,-0.450000,1,-1.180000
1608019621649857024,50,0,0.000000,0,0,1,-0.071558,109.099998,0,0,0.000000,0.000000,2,-1.370000
1608019621650106880,51,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621650358016,52,0,-1.750000,0,0,3,-0.155334,28.299999,1,0,0.000000,-0.200000,3,-1.200000
1608019621650586112,53,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621650860032,54,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621651086080,55,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
1608019621651336960,56,0,0.000000,0,0,0,-0.000000,0.000000,0,0,0.000000,0.000000,0,81.910004
