time_ns,track_id,velocity_x,velocity_y,position_x,position_y,dynprop,rcs,dist_long_rms,vrel_long_rms,dist_lat_rms,vrel_lat_rms,arel_lat_rms,arel_long_rms,orientation_rms,meas_state,prob_of_existobject_type,acceleration_x,acceleration_y,orientation_angel,length,width,false_alarm,ambig_state,invalid_state
1604546789520803072,0,0.000000,0.250000,206.600006,0.800000,1,18.000000,21,22,21,24,0,26,17,3,3,0,0.000000,0.000000,0.000000,3.000000,1.400000,0,0,0
1604546789521242880,1,0.000000,-0.250000,46.599998,-4.600000,1,8.500000,17,17,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789521712896,2,0.000000,0.000000,123.800003,12.400000,6,11.000000,17,18,19,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789522183936,3,0.000000,0.000000,187.199997,-1.000000,1,18.500000,17,18,19,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789522648064,4,0.000000,0.500000,138.800003,18.799999,1,4.000000,19,18,20,21,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789523117056,5,0.000000,0.000000,217.399994,16.600000,1,29.000000,17,18,20,20,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789523582976,6,3.250000,0.250000,204.000000,8.000000,0,26.500000,17,18,19,19,0,21,13,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789524057088,7,0.000000,0.000000,78.400002,-2.800000,1,15.500000,17,18,19,19,0,20,17,2,6,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789524538112,8,0.000000,0.000000,20.799999,-6.000000,1,6.500000,16,17,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789525006080,9,0.000000,0.000000,27.200001,27.400000,1,6.000000,18,19,19,19,0,21,17,3,6,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789525478912,10,0.000000,0.000000,43.599998,-5.000000,1,10.000000,17,18,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789525946880,11,0.000000,0.000000,69.599998,22.000000,1,8.500000,17,18,19,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789526409984,12,0.000000,0.000000,67.199997,-2.800000,1,15.000000,17,17,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789526871040,13,0.000000,0.250000,156.600006,21.200001,1,5.500000,20,19,22,23,0,21,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789527343104,14,0.000000,0.000000,37.599998,28.600000,1,16.000000,18,19,19,19,0,21,17,3,6,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789527810048,15,0.000000,0.000000,120.599998,14.800000,1,14.500000,16,17,19,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789528282880,16,0.000000,0.000000,88.400002,-2.200000,1,14.500000,21,23,22,24,0,26,17,3,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789528748032,17,0.000000,0.000000,6.400000,-4.400000,1,2.000000,16,17,17,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789529221888,18,0.000000,0.000000,59.799999,13.200000,1,12.000000,16,17,18,19,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
1604546789529687040,19,0.000000,0.250000,113.400002,15.200000,1,2.000000,17,18,20,20,0,20,17,2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0
